user,session_info
6,2022-07-09 05:07:40 (item: 764) -> 2022-07-09 05:08:23 (item: 269.0)
62,2022-07-05 18:16:19 (item: 14126) -> 2022-07-05 18:16:36 (item: 13948.0)
101,2022-08-18 15:04:59 (item: 8400) -> 2022-08-18 15:05:44 (item: 7287.0)
167,2022-08-11 00:02:11 (item: 15312) -> 2022-08-11 00:02:33 (item: 16981.0)
211,2022-06-29 08:23:26 (item: 7877) -> 2022-06-29 08:24:07 (item: 13344.0)
219,2022-07-30 13:12:58 (item: 11059) -> 2022-07-30 13:13:26 (item: 6812.0)
219,2022-07-30 13:13:26 (item: 6812) -> 2022-07-30 13:14:01 (item: 12967.0)
541,2022-07-14 01:02:41 (item: 9975) -> 2022-07-14 01:03:28 (item: 14126.0)
550,2022-08-08 00:59:02 (item: 13072) -> 2022-08-08 00:59:48 (item: 16981.0)
637,2022-08-29 06:17:02 (item: 3271) -> 2022-08-29 06:17:57 (item: 1024.0)
654,2022-09-10 04:58:46 (item: 17778) -> 2022-09-10 04:59:13 (item: 11819.0)
674,2022-08-06 15:35:34 (item: 16488) -> 2022-08-06 15:36:16 (item: 202.0)
678,2022-08-02 12:24:39 (item: 18361) -> 2022-08-02 12:25:04 (item: 13447.0)
678,2022-08-14 12:36:48 (item: 57) -> 2022-08-14 12:37:48 (item: 16981.0)
681,2022-09-02 02:45:26 (item: 5707) -> 2022-09-02 02:45:54 (item: 4593.0)
883,2022-07-21 02:37:56 (item: 8892) -> 2022-07-21 02:38:33 (item: 18431.0)
883,2022-07-21 02:38:33 (item: 18431) -> 2022-07-21 02:39:15 (item: 19280.0)
963,2022-08-21 00:51:22 (item: 12072) -> 2022-08-21 00:52:02 (item: 14669.0)
967,2022-07-19 21:55:16 (item: 4763) -> 2022-07-19 21:55:48 (item: 4780.0)
1100,2022-08-10 00:27:50 (item: 17318) -> 2022-08-10 00:28:24 (item: 17959.0)
1261,2022-06-29 11:17:04 (item: 11097) -> 2022-06-29 11:17:25 (item: 873.0)
1321,2022-08-14 03:23:44 (item: 1367) -> 2022-08-14 03:24:32 (item: 17654.0)
1549,2022-08-23 02:00:02 (item: 9725) -> 2022-08-23 02:00:57 (item: 11989.0)
1594,2022-08-29 12:33:10 (item: 7607) -> 2022-08-29 12:33:41 (item: 5962.0)
1704,2022-08-07 13:21:20 (item: 12369) -> 2022-08-07 13:21:56 (item: 14936.0)
1736,2022-08-10 14:35:57 (item: 5756) -> 2022-08-10 14:36:17 (item: 17466.0)
1779,2022-06-08 12:00:19 (item: 17668) -> 2022-06-08 12:00:38 (item: 18216.0)
1855,2022-07-06 15:24:52 (item: 12653) -> 2022-07-06 15:25:21 (item: 17415.0)
1856,2022-08-27 22:37:54 (item: 14739) -> 2022-08-27 22:38:36 (item: 18325.0)
1963,2022-08-15 16:36:50 (item: 15532) -> 2022-08-15 16:37:40 (item: 13596.0)
1965,2022-08-08 15:31:21 (item: 4843) -> 2022-08-08 15:32:04 (item: 7477.0)
1965,2022-08-08 15:32:16 (item: 5025) -> 2022-08-08 15:32:41 (item: 2535.0)
1965,2022-08-08 15:32:48 (item: 13957) -> 2022-08-08 15:33:24 (item: 13849.0)
2263,2022-08-19 17:22:17 (item: 16346) -> 2022-08-19 17:23:03 (item: 10437.0)
2428,2022-07-06 02:39:39 (item: 15914) -> 2022-07-06 02:40:15 (item: 346.0)
2431,2022-05-05 00:15:39 (item: 9648) -> 2022-05-05 00:15:58 (item: 10576.0)
2431,2022-06-16 00:47:28 (item: 6810) -> 2022-06-16 00:47:50 (item: 3325.0)
2431,2022-08-25 03:55:12 (item: 13232) -> 2022-08-25 03:55:52 (item: 7331.0)
2431,2022-08-31 01:42:07 (item: 680) -> 2022-08-31 01:42:50 (item: 10167.0)
2476,2022-08-26 08:20:29 (item: 11584) -> 2022-08-26 08:20:58 (item: 16077.0)
2492,2022-08-25 08:18:16 (item: 2451) -> 2022-08-25 08:18:38 (item: 19572.0)
2523,2022-08-31 16:02:40 (item: 10684) -> 2022-08-31 16:03:27 (item: 7114.0)
2710,2022-08-10 03:21:41 (item: 17717) -> 2022-08-10 03:22:25 (item: 8603.0)
2710,2022-08-10 03:22:25 (item: 8603) -> 2022-08-10 03:22:48 (item: 4043.0)
2710,2022-08-10 03:22:48 (item: 4043) -> 2022-08-10 03:23:05 (item: 11596.0)
2710,2022-08-10 03:23:05 (item: 11596) -> 2022-08-10 03:23:35 (item: 5981.0)
2710,2022-08-10 03:23:35 (item: 5981) -> 2022-08-10 03:24:07 (item: 13907.0)
2725,2022-08-29 02:54:37 (item: 1846) -> 2022-08-29 02:54:59 (item: 7607.0)
2738,2022-07-09 06:33:02 (item: 6714) -> 2022-07-09 06:33:50 (item: 19030.0)
2781,2022-07-03 16:17:23 (item: 9058) -> 2022-07-03 16:18:00 (item: 14244.0)
2823,2022-08-28 03:49:14 (item: 15881) -> 2022-08-28 03:49:37 (item: 1846.0)
2870,2022-08-17 05:09:03 (item: 15816) -> 2022-08-17 05:09:19 (item: 12254.0)
2896,2022-05-22 15:47:54 (item: 3497) -> 2022-05-22 15:48:23 (item: 9906.0)
2969,2022-08-29 02:53:54 (item: 7607) -> 2022-08-29 02:54:39 (item: 1846.0)
2969,2022-08-30 10:27:26 (item: 680) -> 2022-08-30 10:28:11 (item: 5962.0)
3013,2022-07-26 07:52:45 (item: 8281) -> 2022-07-26 07:53:08 (item: 11878.0)
3112,2022-06-06 05:23:34 (item: 7568) -> 2022-06-06 05:23:49 (item: 7200.0)
3169,2022-09-03 02:48:33 (item: 2459) -> 2022-09-03 02:49:15 (item: 13622.0)
3204,2022-08-31 00:09:19 (item: 10167) -> 2022-08-31 00:09:40 (item: 680.0)
3291,2022-06-25 19:13:40 (item: 3933) -> 2022-06-25 19:14:13 (item: 17310.0)
3291,2022-06-30 18:16:00 (item: 13621) -> 2022-06-30 18:16:45 (item: 10540.0)
3364,2022-09-09 00:49:02 (item: 5734) -> 2022-09-09 00:49:45 (item: 19658.0)
3504,2022-08-15 11:29:53 (item: 19052) -> 2022-08-15 11:30:29 (item: 7735.0)
3605,2022-07-11 08:01:21 (item: 4464) -> 2022-07-11 08:02:04 (item: 16221.0)
3765,2022-06-30 08:24:24 (item: 10317) -> 2022-06-30 08:24:58 (item: 12638.0)
3775,2022-08-08 01:42:38 (item: 17959) -> 2022-08-08 01:42:57 (item: 13072.0)
3834,2022-09-10 07:07:41 (item: 7963) -> 2022-09-10 07:08:20 (item: 11626.0)
3881,2022-08-10 09:17:54 (item: 9632) -> 2022-08-10 09:18:33 (item: 3906.0)
4192,2022-09-01 03:07:42 (item: 18206) -> 2022-09-01 03:08:17 (item: 1160.0)
4232,2022-09-11 05:56:19 (item: 198) -> 2022-09-11 05:56:58 (item: 4138.0)
4316,2022-07-31 13:08:58 (item: 10084) -> 2022-07-31 13:09:49 (item: 12479.0)
4614,2022-08-30 09:20:09 (item: 15826) -> 2022-08-30 09:20:37 (item: 2188.0)
4684,2022-08-31 13:20:26 (item: 17192) -> 2022-08-31 13:20:57 (item: 6338.0)
4763,2022-07-01 04:15:20 (item: 1074) -> 2022-07-01 04:16:04 (item: 1120.0)
4796,2022-09-11 06:38:50 (item: 1188) -> 2022-09-11 06:39:23 (item: 14054.0)
4804,2022-08-28 03:45:04 (item: 1846) -> 2022-08-28 03:45:41 (item: 15881.0)
4804,2022-08-30 02:12:14 (item: 5962) -> 2022-08-30 02:13:05 (item: 10167.0)
4809,2022-08-24 11:08:13 (item: 10631) -> 2022-08-24 11:08:53 (item: 7844.0)
4867,2022-09-02 15:09:20 (item: 3515) -> 2022-09-02 15:10:01 (item: 1268.0)
4946,2022-07-12 16:09:51 (item: 1077) -> 2022-07-12 16:10:49 (item: 13008.0)
5174,2022-09-01 15:13:47 (item: 185) -> 2022-09-01 15:14:14 (item: 7191.0)
5195,2022-08-17 13:23:19 (item: 3111) -> 2022-08-17 13:24:12 (item: 12111.0)
5202,2022-09-03 03:31:56 (item: 10512) -> 2022-09-03 03:32:13 (item: 4625.0)
5275,2022-09-09 03:44:59 (item: 2384) -> 2022-09-09 03:45:52 (item: 17072.0)
5306,2022-04-28 13:52:43 (item: 6920) -> 2022-04-28 13:53:00 (item: 1488.0)
5404,2022-09-05 04:02:44 (item: 18827) -> 2022-09-05 04:03:38 (item: 14962.0)
5404,2022-09-05 05:04:58 (item: 684) -> 2022-09-05 05:05:26 (item: 5446.0)
5440,2022-08-14 01:56:36 (item: 9350) -> 2022-08-14 01:56:53 (item: 365.0)
5451,2022-08-15 12:14:19 (item: 16417) -> 2022-08-15 12:15:06 (item: 12537.0)
5514,2022-07-28 07:36:37 (item: 3864) -> 2022-07-28 07:37:08 (item: 9905.0)
5584,2022-08-29 04:43:33 (item: 2859) -> 2022-08-29 04:43:56 (item: 10348.0)
5596,2022-06-12 17:08:57 (item: 12588) -> 2022-06-12 17:09:19 (item: 2699.0)
5614,2022-08-19 12:29:38 (item: 12665) -> 2022-08-19 12:30:27 (item: 6539.0)
5614,2022-08-23 13:43:10 (item: 14536) -> 2022-08-23 13:43:59 (item: 2967.0)
5615,2022-09-01 16:02:14 (item: 14466) -> 2022-09-01 16:02:33 (item: 13577.0)
5664,2022-08-11 01:00:05 (item: 13358) -> 2022-08-11 01:00:50 (item: 6572.0)
5664,2022-08-29 15:13:42 (item: 5962) -> 2022-08-29 15:14:26 (item: 7607.0)
5756,2022-08-10 11:15:09 (item: 7220) -> 2022-08-10 11:15:41 (item: 11813.0)
5811,2022-06-17 04:59:56 (item: 11386) -> 2022-06-17 05:00:12 (item: 18552.0)
5927,2022-07-01 16:33:15 (item: 2392) -> 2022-07-01 16:34:12 (item: 16775.0)
5944,2022-09-06 17:35:02 (item: 1648) -> 2022-09-06 17:35:51 (item: 18143.0)
6057,2022-08-07 08:00:41 (item: 18867) -> 2022-08-07 08:01:13 (item: 13849.0)
6208,2022-08-09 00:24:16 (item: 9652) -> 2022-08-09 00:25:09 (item: 373.0)
6323,2022-07-26 07:09:19 (item: 8281) -> 2022-07-26 07:09:51 (item: 11878.0)
6353,2022-08-25 09:23:38 (item: 6729) -> 2022-08-25 09:24:36 (item: 14351.0)
6583,2022-08-26 09:28:14 (item: 4922) -> 2022-08-26 09:29:03 (item: 15078.0)
6612,2022-07-12 12:03:48 (item: 8308) -> 2022-07-12 12:04:16 (item: 11510.0)
6626,2022-06-23 05:51:11 (item: 3787) -> 2022-06-23 05:51:39 (item: 16608.0)
6626,2022-06-29 15:44:08 (item: 17295) -> 2022-06-29 15:44:40 (item: 18484.0)
6632,2022-08-29 15:49:17 (item: 10280) -> 2022-08-29 15:50:07 (item: 3440.0)
6670,2022-09-03 01:16:13 (item: 3097) -> 2022-09-03 01:16:46 (item: 19412.0)
6694,2022-08-18 05:50:41 (item: 4601) -> 2022-08-18 05:51:09 (item: 15376.0)
6724,2022-08-21 14:08:40 (item: 14536) -> 2022-08-21 14:09:36 (item: 4611.0)
6736,2022-08-23 04:15:28 (item: 9693) -> 2022-08-23 04:16:22 (item: 7112.0)
6782,2022-09-08 10:55:43 (item: 5032) -> 2022-09-08 10:56:27 (item: 1809.0)
6885,2022-08-26 12:46:45 (item: 7149) -> 2022-08-26 12:47:02 (item: 10419.0)
6900,2022-08-08 05:08:11 (item: 3022) -> 2022-08-08 05:08:33 (item: 4397.0)
6931,2022-07-29 14:43:37 (item: 2111) -> 2022-07-29 14:44:06 (item: 8446.0)
6986,2022-08-15 05:53:02 (item: 6539) -> 2022-08-15 05:53:48 (item: 3260.0)
7092,2022-08-15 05:57:37 (item: 10397) -> 2022-08-15 05:58:20 (item: 16961.0)
7171,2022-09-05 16:47:51 (item: 3293) -> 2022-09-05 16:48:32 (item: 10830.0)
7184,2022-07-19 10:02:57 (item: 13577) -> 2022-07-19 10:03:23 (item: 2701.0)
