user,session_times
6,"2022-07-09 05:07:40 (item: 764)
2022-07-09 05:08:23 (item: 269)"
14,"2022-08-11 09:12:13 (item: 7018)
2022-08-11 09:18:19 (item: 7378)"
16,"2022-09-11 11:07:50 (item: 17269)
2022-09-11 11:10:40 (item: 1728)"
20,"2022-08-21 09:52:55 (item: 13125)
2022-08-21 09:56:05 (item: 14536)"
26,"2022-08-30 10:11:10 (item: 18943)
2022-08-30 10:14:11 (item: 5848)"
37,"2022-05-16 10:33:10 (item: 10293)
2022-05-16 10:34:50 (item: 12693)"
40,"2022-08-18 02:28:01 (item: 13294)
2022-08-18 02:29:27 (item: 18573)"
41,"2022-09-07 12:49:03 (item: 6814)
2022-09-07 12:51:10 (item: 17288)"
61,"2022-09-07 13:04:14 (item: 8447)
2022-09-07 13:04:18 (item: 14199)"
62,"2022-07-05 18:16:19 (item: 14126)
2022-07-05 18:16:36 (item: 13948)"
73,"2022-09-06 13:34:05 (item: 1608)
2022-09-06 13:36:49 (item: 10194)"
90,"2022-09-07 10:55:46 (item: 5739)
2022-09-07 10:57:44 (item: 13770)"
101,"2022-08-18 15:02:47 (item: 5036)
2022-08-18 15:04:59 (item: 8400)
2022-08-18 15:05:44 (item: 7287)"
125,"2022-07-09 13:24:00 (item: 8906)
2022-07-09 13:28:09 (item: 9420)"
137,"2022-09-02 08:25:01 (item: 19470)
2022-09-02 08:27:59 (item: 10709)"
155,"2022-09-05 12:00:45 (item: 10678)
2022-09-05 12:09:24 (item: 11861)"
156,"2022-09-11 05:40:53 (item: 8863)
2022-09-11 05:46:04 (item: 18263)"
167,"2022-08-11 00:02:11 (item: 15312)
2022-08-11 00:02:33 (item: 16981)"
170,"2022-08-30 16:43:42 (item: 14034)
2022-08-30 16:50:23 (item: 13516)"
188,"2022-07-31 13:52:58 (item: 5434)
2022-07-31 13:54:22 (item: 2757)
2022-07-31 14:00:36 (item: 4440)"
192,"2022-07-25 14:51:12 (item: 2081)
2022-07-25 14:58:23 (item: 11660)"
203,"2022-08-19 19:43:06 (item: 10233)
2022-08-19 19:50:35 (item: 9512)"
211,"2022-06-29 08:23:26 (item: 7877)
2022-06-29 08:24:07 (item: 13344)"
216,"2022-09-02 12:43:35 (item: 16435)
2022-09-02 12:46:07 (item: 11200)"
219,"2022-07-30 13:12:58 (item: 11059)
2022-07-30 13:13:26 (item: 6812)
2022-07-30 13:14:01 (item: 12967)"
226,"2022-07-01 13:53:13 (item: 6980)
2022-07-01 13:59:54 (item: 17576)"
227,"2022-08-24 02:29:04 (item: 3693)
2022-08-24 02:31:45 (item: 13285)"
241,"2022-08-12 06:39:10 (item: 5460)
2022-08-12 06:47:49 (item: 11351)"
248,"2022-07-31 19:35:18 (item: 1349)
2022-07-31 19:38:02 (item: 6875)"
263,"2022-08-23 06:40:19 (item: 12923)
2022-08-23 06:50:03 (item: 4470)"
273,"2022-08-13 07:39:00 (item: 5748)
2022-08-13 07:44:34 (item: 15931)

2022-08-14 02:33:30 (item: 17536)
2022-08-14 02:38:06 (item: 8624)"
304,"2022-08-17 23:17:49 (item: 8846)
2022-08-17 23:19:56 (item: 15152)
2022-08-17 23:24:34 (item: 5262)"
311,"2022-09-01 09:52:15 (item: 13217)
2022-09-01 09:56:51 (item: 11888)"
315,"2022-08-21 05:28:37 (item: 13123)
2022-08-21 05:30:18 (item: 3466)"
319,"2022-08-18 09:01:51 (item: 18432)
2022-08-18 09:07:45 (item: 12865)"
339,"2022-08-04 13:09:06 (item: 9659)
2022-08-04 13:17:46 (item: 13739)"
364,"2022-07-03 15:06:09 (item: 19557)
2022-07-03 15:14:42 (item: 7751)"
399,"2022-09-05 06:30:32 (item: 19515)
2022-09-05 06:30:47 (item: 3637)"
412,"2022-07-23 03:07:54 (item: 4329)
2022-07-23 03:12:00 (item: 5228)"
414,"2022-07-03 06:54:27 (item: 18693)
2022-07-03 06:58:35 (item: 18701)"
422,"2022-09-12 09:48:20 (item: 2027)
2022-09-12 09:50:20 (item: 11934)"
450,"2022-09-02 03:47:39 (item: 17605)
2022-09-02 03:51:32 (item: 5940)"
455,"2022-09-05 11:50:41 (item: 420)
2022-09-05 11:52:45 (item: 19072)"
479,"2022-06-22 05:15:39 (item: 3180)
2022-06-22 05:22:46 (item: 5523)"
529,"2022-07-17 03:24:17 (item: 14933)
2022-07-17 03:29:14 (item: 8891)"
532,"2022-08-27 02:55:56 (item: 16289)
2022-08-27 03:03:00 (item: 8972)"
537,"2022-09-06 10:07:35 (item: 776)
2022-09-06 10:16:10 (item: 8271)"
541,"2022-07-14 01:02:41 (item: 9975)
2022-07-14 01:03:28 (item: 14126)"
550,"2022-08-08 00:59:02 (item: 13072)
2022-08-08 00:59:48 (item: 16981)"
555,"2022-08-05 10:00:09 (item: 18978)
2022-08-05 10:01:34 (item: 4867)"
570,"2022-06-21 15:21:08 (item: 16025)
2022-06-21 15:23:50 (item: 12710)"
572,"2022-07-25 14:31:45 (item: 19246)
2022-07-25 14:36:54 (item: 6709)"
588,"2022-07-24 03:37:09 (item: 16111)
2022-07-24 03:40:17 (item: 19433)"
609,"2022-08-07 11:17:49 (item: 19123)
2022-08-07 11:27:37 (item: 8338)"
613,"2022-07-04 08:49:55 (item: 2978)
2022-07-04 08:57:31 (item: 10775)"
637,"2022-08-29 06:17:02 (item: 3271)
2022-08-29 06:17:57 (item: 1024)
2022-08-29 06:21:58 (item: 3243)"
638,"2022-05-18 04:19:55 (item: 17222)
2022-05-18 04:25:11 (item: 7000)"
654,"2022-09-10 04:58:46 (item: 17778)
2022-09-10 04:59:13 (item: 11819)"
662,"2022-08-09 07:55:12 (item: 14889)
2022-08-09 07:56:34 (item: 863)

2022-09-06 12:22:35 (item: 2575)
2022-09-06 12:28:04 (item: 14234)"
668,"2022-07-03 10:39:08 (item: 5149)
2022-07-03 10:41:59 (item: 18821)"
670,"2022-08-10 13:50:52 (item: 8907)
2022-08-10 13:52:19 (item: 6337)

2022-08-12 11:03:14 (item: 18347)
2022-08-12 11:09:55 (item: 2883)"
674,"2022-08-06 15:35:34 (item: 16488)
2022-08-06 15:36:16 (item: 202)"
678,"2022-08-02 12:14:54 (item: 448)
2022-08-02 12:24:39 (item: 18361)
2022-08-02 12:25:04 (item: 13447)

2022-08-14 12:36:48 (item: 57)
2022-08-14 12:37:48 (item: 16981)"
681,"2022-09-02 02:45:26 (item: 5707)
2022-09-02 02:45:54 (item: 4593)"
688,"2022-08-22 12:59:38 (item: 18482)
2022-08-22 13:07:32 (item: 15673)"
689,"2022-08-14 12:59:41 (item: 950)
2022-08-14 13:04:53 (item: 5128)"
698,"2022-09-12 08:20:11 (item: 13324)
2022-09-12 08:20:22 (item: 17210)"
699,"2022-06-27 01:47:44 (item: 4218)
2022-06-27 01:52:53 (item: 9576)"
722,"2022-07-19 07:20:53 (item: 16768)
2022-07-19 07:29:45 (item: 3409)
2022-07-19 07:33:27 (item: 13851)"
723,"2022-08-19 04:08:54 (item: 13193)
2022-08-19 04:16:21 (item: 6572)"
728,"2022-09-11 11:22:45 (item: 7044)
2022-09-11 11:25:06 (item: 5815)"
732,"2022-08-13 03:06:40 (item: 5092)
2022-08-13 03:16:11 (item: 16230)"
739,"2022-06-18 13:58:41 (item: 12764)
2022-06-18 14:01:53 (item: 11125)"
744,"2022-07-17 05:28:54 (item: 5446)
2022-07-17 05:37:36 (item: 15942)"
768,"2022-06-11 03:22:16 (item: 17241)
2022-06-11 03:30:11 (item: 19372)"
784,"2022-08-18 10:04:39 (item: 2845)
2022-08-18 10:04:47 (item: 8855)
2022-08-18 10:06:19 (item: 7952)"
817,"2022-08-01 23:43:29 (item: 11073)
2022-08-01 23:50:46 (item: 15913)"
836,"2022-08-11 18:39:27 (item: 18091)
2022-08-11 18:42:14 (item: 9280)"
850,"2022-08-15 09:54:43 (item: 5118)
2022-08-15 09:56:14 (item: 5929)"
862,"2022-08-03 08:53:39 (item: 11430)
2022-08-03 08:55:36 (item: 2741)"
