video_id,comment_count
1,2
2,153
3,57
4,70
5,31
6,9
7,5
8,15
9,31
10,10
11,21
12,20
13,11
14,33
15,14
16,3
17,76
18,57
19,19
20,15
21,74
22,11
23,18
24,148
25,11
26,5
27,63
28,57
29,18
30,21
31,3
32,5
33,10
34,65
35,2
36,50
37,46
38,68
39,17
40,12
41,3
42,10
43,46
44,113
45,24
46,46
47,15
48,22
49,31
50,37
51,2
52,77
53,11
54,204
55,12
56,17
57,284
58,3
59,5
60,12
61,22
62,12
63,2
64,3
65,39
66,20
67,50
68,47
69,9
70,41
71,16
72,15
73,100
74,34
75,45
76,46
77,63
78,6
79,52
80,12
81,38
82,6
83,6
84,32
85,11
86,74
87,4
88,117
89,35
90,132
91,64
92,12
93,95
94,5
95,56
96,14
97,7
98,11
99,11
100,76
101,39
102,7
103,13
104,51
105,17
106,7
107,88
108,54
109,63
110,1
111,3
112,17
113,69
114,9
115,9
116,39
117,10
118,52
119,6
120,215
121,36
122,84
123,132
124,43
125,22
126,19
127,73
128,37
129,13
130,15
131,7
132,31
133,21
134,3
135,6
136,15
137,18
138,65
139,24
140,26
141,35
142,7
143,18
144,24
145,49
146,94
147,43
148,32
149,13
150,11
151,82
152,36
153,1
154,19
155,13
156,124
157,38
158,12
159,14
160,46
161,4
162,15
163,8
164,9
165,75
166,3
167,22
168,10
169,36
170,5
171,8
172,27
173,2
174,37
175,4
176,64
177,49
178,77
179,39
180,52
181,59
182,38
183,9
184,6
185,47
186,81
187,7
188,11
189,148
190,68
191,10
192,11
193,44
194,38
195,143
196,16
197,12
198,80
199,97
200,132
201,20
202,166
203,25
204,36
205,5
206,24
207,22
208,9
209,75
210,29
211,18
212,19
213,63
214,8
215,115
216,15
217,51
218,22
219,22
220,13
221,2
222,36
223,57
224,52
225,15
226,103
227,9
228,14
229,71
230,12
231,36
232,79
233,30
234,20
235,48
236,39
237,29
238,3
239,66
240,38
241,56
242,7
243,42
244,59
245,3
246,43
247,84
248,14
249,164
250,13
251,5
252,3
253,10
254,111
255,4
256,16
257,14
258,22
259,56
260,118
261,48
262,75
263,63
264,13
265,92
266,56
267,26
268,17
269,45
270,133
271,76
272,11
273,13
274,71
275,7
276,18
277,28
278,78
279,40
280,9
281,3
282,25
283,22
284,25
285,16
286,23
287,9
288,15
289,4
290,13
291,13
292,10
293,8
294,23
